libusea,libuseb,sex,age,par,inc,live,books
Y,N,female,72,no,under 30,A large city,6
N,N,female,91,no,150+,A small city or town,2
N,N,female,68,no,,A large city,1
Y,N,female,79,no,75-under 150,A rural area,25
N,N,male,79,no,under 30,A small city or town,0
Y,Y,female,61,yes,75-under 150,A rural area,6
Y,Y,female,36,yes,30-under 75,A small city or town,24
Y,Y,male,57,yes,150+,A rural area,50
N,N,female,78,no,under 30,A small city or town,0
N,N,male,58,no,30-under 75,A small city or town,0
N,N,female,65,no,under 30,A small city or town,25
Y,Y,female,44,yes,75-under 150,A large city,5
Y,Y,female,74,no,30-under 75,A rural area,40
Y,N,male,26,no,under 30,A small city or town,50
N,N,male,47,yes,150+,A suburb near a large city,3
Y,N,male,47,yes,75-under 150,A small city or town,12
N,N,female,87,no,75-under 150,A large city,24
Y,Y,male,73,no,30-under 75,A suburb near a large city,3
N,N,female,58,no,75-under 150,A rural area,40
Y,N,female,64,no,30-under 75,A small city or town,20
Y,Y,female,19,no,150+,A suburb near a large city,50
Y,N,female,58,no,under 30,A large city,3
Y,N,female,91,no,,A small city or town,2
Y,Y,female,57,no,30-under 75,A rural area,24
N,N,male,56,yes,,A rural area,0
Y,N,female,73,no,30-under 75,A small city or town,12
N,N,female,55,no,under 30,A rural area,0
Y,Y,female,57,no,,A suburb near a large city,30
N,N,male,63,no,under 30,A rural area,0
N,N,female,70,no,,A large city,10
Y,N,male,56,yes,150+,A suburb near a large city,50
N,N,male,76,no,150+,A small city or town,3
N,N,female,84,no,under 30,A small city or town,3
Y,N,female,69,no,under 30,A suburb near a large city,10
N,Y,female,60,no,,A large city,20
Y,Y,female,62,no,150+,A suburb near a large city,6
Y,N,female,72,no,30-under 75,A suburb near a large city,0
N,N,female,72,no,30-under 75,A small city or town,2
N,N,male,75,no,30-under 75,A suburb near a large city,1
N,N,female,78,no,30-under 75,A small city or town,5
N,N,female,52,no,75-under 150,A suburb near a large city,0
Y,N,female,,no,,A suburb near a large city,
Y,N,male,68,no,30-under 75,A small city or town,12
Y,N,female,68,no,75-under 150,A small city or town,50
N,N,female,72,no,150+,A rural area,11
N,N,male,56,no,30-under 75,A small city or town,0
N,N,male,55,no,150+,A suburb near a large city,3
N,N,male,77,no,,A small city or town,2
N,N,female,53,no,75-under 150,A suburb near a large city,0
Y,N,female,53,no,30-under 75,A rural area,30
Y,Y,female,58,no,30-under 75,A small city or town,15
Y,Y,male,69,no,150+,A suburb near a large city,12
Y,N,female,86,no,under 30,A small city or town,4
Y,N,female,76,no,under 30,A small city or town,30
Y,N,female,61,no,30-under 75,A rural area,50
Y,Y,female,73,no,,A small city or town,50
Y,Y,female,73,no,,A small city or town,20
Y,Y,male,71,no,30-under 75,A rural area,10
Y,Y,male,68,no,75-under 150,A small city or town,
N,N,female,82,no,30-under 75,A large city,0
Y,N,female,30,no,under 30,A rural area,60
N,N,female,29,yes,under 30,A small city or town,0
Y,Y,female,23,no,30-under 75,A suburb near a large city,30
N,N,female,95,no,,A small city or town,0
Y,N,female,74,no,under 30,A rural area,12
Y,N,female,78,no,30-under 75,A suburb near a large city,6
Y,Y,female,40,yes,75-under 150,A large city,6
Y,N,female,65,no,30-under 75,,12
N,Y,male,51,no,30-under 75,A small city or town,1
N,N,female,87,no,,A small city or town,0
Y,Y,male,69,no,75-under 150,A small city or town,25
N,N,male,62,no,30-under 75,A small city or town,3
Y,Y,male,61,no,30-under 75,A small city or town,60
Y,N,female,16,no,under 30,A suburb near a large city,2
N,N,male,67,no,30-under 75,A large city,0
Y,Y,female,,no,30-under 75,A large city,3
Y,N,female,52,yes,150+,A rural area,30
Y,Y,male,72,no,30-under 75,A suburb near a large city,15
Y,N,female,69,no,30-under 75,A large city,
N,N,female,61,no,30-under 75,A small city or town,0
N,N,male,70,no,30-under 75,A rural area,0
N,N,female,57,yes,under 30,A rural area,0
Y,N,female,64,no,under 30,A rural area,2
Y,N,female,73,no,under 30,A small city or town,75
Y,Y,male,64,no,30-under 75,A large city,12
N,N,female,60,no,30-under 75,A suburb near a large city,2
N,N,female,,no,,A small city or town,3
N,N,female,27,no,under 30,A rural area,5
N,N,male,58,no,75-under 150,A small city or town,12
Y,Y,female,67,no,75-under 150,A small city or town,4
Y,N,male,61,no,150+,A small city or town,20
N,N,female,67,no,,A small city or town,0
N,N,female,56,no,30-under 75,A rural area,12
N,N,male,59,no,under 30,A small city or town,0
Y,Y,male,80,no,75-under 150,A rural area,60
N,N,female,60,no,under 30,A small city or town,0
N,N,female,50,no,150+,A large city,0
Y,Y,male,54,no,75-under 150,A small city or town,2
N,N,female,54,no,30-under 75,A rural area,1
Y,N,female,83,no,,A large city,50
N,N,female,66,no,under 30,A large city,0
Y,Y,male,53,no,30-under 75,A suburb near a large city,15
N,N,male,54,no,30-under 75,A small city or town,3
N,N,male,55,no,150+,A suburb near a large city,8
Y,Y,female,41,yes,30-under 75,A small city or town,3
N,N,male,44,yes,,A small city or town,0
Y,N,male,,yes,75-under 150,A large city,8
N,N,female,68,no,,A rural area,0
Y,N,female,60,no,75-under 150,A large city,3
N,N,male,94,no,under 30,A rural area,0
Y,Y,female,54,no,30-under 75,A suburb near a large city,2
Y,N,male,41,yes,,A rural area,0
N,N,female,64,no,30-under 75,A rural area,4
