libusea,libuseb,sex,age,par,inc,live,books
N,N,female,51,no,75-under 150,A large city,0
Y,N,female,62,no,,A large city,2
Y,N,female,21,no,under 30,A small city or town,4
N,N,male,28,no,30-under 75,A rural area,10
Y,N,female,19,no,under 30,A small city or town,2
N,N,female,60,no,,A rural area,1
N,N,female,23,no,under 30,A small city or town,0
Y,N,male,54,no,under 30,A rural area,0
Y,Y,female,52,no,75-under 150,A small city or town,75
Y,Y,female,83,no,75-under 150,A suburb near a large city,5
N,Y,female,47,yes,75-under 150,A rural area,10
N,N,male,66,no,75-under 150,A small city or town,0
N,Y,female,48,no,under 30,A large city,5
N,N,male,18,no,30-under 75,A suburb near a large city,0
Y,Y,female,28,yes,30-under 75,A suburb near a large city,3
N,N,female,17,no,75-under 150,A small city or town,4
Y,N,male,29,yes,30-under 75,A suburb near a large city,30
Y,Y,male,46,yes,,A suburb near a large city,4
N,N,female,30,yes,under 30,A small city or town,0
Y,Y,female,50,yes,150+,A suburb near a large city,
N,N,male,56,no,75-under 150,A small city or town,0
N,Y,female,32,yes,30-under 75,A small city or town,24
N,N,female,66,no,,A large city,3
N,N,male,52,yes,under 30,A small city or town,0
N,N,female,62,no,,A large city,5
N,N,male,83,no,150+,A suburb near a large city,6
Y,Y,male,33,no,30-under 75,A suburb near a large city,2
Y,Y,female,68,no,150+,A small city or town,50
Y,N,female,39,yes,75-under 150,A rural area,6
Y,N,female,26,no,30-under 75,A suburb near a large city,3
N,Y,male,37,yes,150+,A suburb near a large city,3
Y,Y,male,70,no,,A small city or town,30
N,N,male,38,yes,75-under 150,A large city,2
Y,N,female,45,no,,A large city,5
N,N,male,24,no,under 30,A suburb near a large city,2
N,Y,male,21,no,30-under 75,A large city,2
N,N,female,72,no,under 30,A small city or town,1
N,Y,female,47,no,30-under 75,A small city or town,0
Y,N,male,34,yes,30-under 75,A suburb near a large city,30
N,N,male,31,no,75-under 150,A large city,0
N,N,female,34,yes,under 30,A suburb near a large city,0
Y,N,male,54,yes,150+,A suburb near a large city,0
Y,Y,female,58,no,30-under 75,A small city or town,24
N,N,female,58,no,under 30,A large city,0
N,N,female,26,yes,under 30,A suburb near a large city,3
Y,N,female,46,yes,30-under 75,A small city or town,2
N,N,female,72,no,30-under 75,A large city,5
Y,N,male,30,yes,30-under 75,A large city,40
Y,Y,female,17,no,30-under 75,A large city,20
Y,N,female,33,no,75-under 150,A suburb near a large city,
N,N,male,27,no,30-under 75,A small city or town,3
Y,N,female,58,yes,30-under 75,A small city or town,8
Y,Y,male,63,no,75-under 150,A suburb near a large city,0
Y,N,female,77,no,under 30,A rural area,0
N,N,male,60,no,under 30,A suburb near a large city,0
N,N,male,22,no,under 30,A small city or town,16
Y,Y,male,70,no,75-under 150,A suburb near a large city,12
N,N,female,64,no,75-under 150,A suburb near a large city,6
Y,Y,female,36,yes,75-under 150,A rural area,
Y,N,male,81,no,under 30,A suburb near a large city,0
Y,N,male,71,no,30-under 75,A rural area,6
Y,N,female,58,no,30-under 75,A large city,0
Y,N,male,35,yes,75-under 150,A small city or town,15
N,Y,female,50,no,30-under 75,A small city or town,30
N,N,male,73,no,under 30,,0
Y,Y,female,22,no,under 30,A large city,20
N,N,female,36,yes,75-under 150,A small city or town,6
Y,Y,female,70,no,30-under 75,A suburb near a large city,5
N,N,male,68,no,150+,A large city,0
Y,Y,male,17,no,under 30,A small city or town,10
Y,Y,female,39,no,under 30,A suburb near a large city,3
Y,N,male,47,yes,under 30,A large city,0
Y,N,female,42,yes,30-under 75,A large city,6
Y,Y,female,54,no,30-under 75,A small city or town,15
N,N,male,56,no,30-under 75,A rural area,0
N,N,female,50,yes,150+,A rural area,3
N,N,female,27,yes,under 30,A small city or town,24
Y,Y,male,55,yes,75-under 150,A small city or town,30
Y,N,male,57,no,under 30,A large city,0
N,N,female,51,yes,30-under 75,A rural area,0
N,N,male,36,no,75-under 150,A rural area,0
N,N,male,61,no,75-under 150,A rural area,0
Y,Y,male,19,no,30-under 75,A rural area,30
Y,Y,male,31,no,30-under 75,A large city,10
Y,Y,female,57,no,75-under 150,A large city,70
Y,Y,female,39,yes,75-under 150,A large city,20
N,N,female,55,no,30-under 75,A rural area,8
Y,Y,male,59,no,,A small city or town,2
N,N,male,67,no,150+,A rural area,0
N,N,male,30,no,75-under 150,A large city,2
N,N,male,22,no,under 30,A small city or town,2
Y,N,male,,no,,A large city,6
Y,Y,male,48,no,75-under 150,A rural area,
N,Y,female,59,no,30-under 75,A suburb near a large city,1
N,N,female,29,yes,30-under 75,A large city,25
Y,N,male,16,no,under 30,A small city or town,3
N,N,male,47,no,under 30,A large city,0
N,N,male,70,no,75-under 150,A small city or town,0
Y,Y,male,27,no,75-under 150,A large city,7
Y,N,female,25,no,,A large city,0
Y,Y,female,53,yes,150+,A suburb near a large city,2
N,N,male,55,no,30-under 75,A large city,3
Y,Y,female,50,no,under 30,A small city or town,30
N,N,male,55,yes,75-under 150,A rural area,1
N,N,male,70,no,75-under 150,A rural area,6
Y,Y,female,57,no,under 30,A large city,
N,N,male,42,yes,under 30,A large city,0
Y,Y,male,39,yes,75-under 150,A suburb near a large city,96
Y,N,male,22,no,75-under 150,A small city or town,0
Y,N,male,16,no,,A large city,5
Y,N,female,25,no,30-under 75,A small city or town,
N,N,male,38,yes,75-under 150,A suburb near a large city,2
N,N,female,23,no,under 30,A small city or town,4
N,,female,24,yes,75-under 150,A small city or town,3
N,N,male,35,yes,75-under 150,A suburb near a large city,1
N,N,male,22,no,under 30,A suburb near a large city,2
Y,N,male,48,yes,150+,A small city or town,
Y,Y,female,71,no,75-under 150,A small city or town,96
N,N,male,78,no,30-under 75,A small city or town,35
Y,Y,male,20,no,,A large city,0
N,N,female,69,no,75-under 150,A large city,1
Y,Y,female,47,no,under 30,A small city or town,1
N,N,male,80,no,30-under 75,A small city or town,0
N,N,female,77,no,,A rural area,12
N,N,female,61,no,30-under 75,A small city or town,0
Y,Y,female,61,no,75-under 150,A rural area,10
Y,Y,male,70,no,75-under 150,A small city or town,15
Y,N,male,67,no,75-under 150,A small city or town,10
Y,Y,male,26,no,under 30,A suburb near a large city,9
Y,Y,female,68,no,30-under 75,A rural area,30
N,N,female,43,no,75-under 150,A large city,5
Y,N,male,50,yes,75-under 150,A rural area,20
N,N,male,70,no,under 30,A small city or town,14
N,N,male,63,no,75-under 150,A small city or town,6
Y,N,male,20,no,under 30,A small city or town,15
N,N,male,45,yes,75-under 150,A rural area,5
Y,N,male,17,no,75-under 150,A small city or town,4
N,N,male,18,no,75-under 150,A large city,7
N,N,male,26,no,30-under 75,A large city,5
N,N,female,44,no,under 30,A rural area,0
N,N,male,68,no,30-under 75,A small city or town,6
N,N,male,27,no,75-under 150,A rural area,2
Y,Y,female,45,yes,30-under 75,A large city,60
Y,Y,male,66,no,,A suburb near a large city,5
N,N,female,42,yes,75-under 150,A small city or town,0
Y,Y,female,22,no,under 30,A small city or town,20
N,N,male,65,no,30-under 75,A rural area,0
Y,N,male,76,no,75-under 150,A large city,50
N,N,female,67,no,150+,A small city or town,1
N,N,male,20,no,under 30,A suburb near a large city,16
N,N,female,70,no,,A suburb near a large city,25
Y,Y,female,65,no,30-under 75,A small city or town,25
Y,Y,male,38,yes,30-under 75,A suburb near a large city,1
N,N,female,93,no,,A large city,6
Y,N,male,43,yes,30-under 75,A small city or town,5
Y,N,male,34,yes,30-under 75,A rural area,0
Y,N,female,16,no,,A small city or town,5
N,N,male,50,no,75-under 150,A suburb near a large city,0
Y,N,male,36,yes,30-under 75,A small city or town,0
N,N,male,55,no,75-under 150,A suburb near a large city,0
N,N,female,33,yes,under 30,A small city or town,1
Y,Y,male,65,no,30-under 75,A large city,10
Y,Y,male,25,no,under 30,A small city or town,17
N,N,male,23,no,30-under 75,A large city,0
N,N,male,29,no,150+,A small city or town,
N,N,female,60,no,,,20
N,N,male,50,no,under 30,A large city,0
Y,Y,male,71,yes,75-under 150,A large city,15
N,N,male,22,no,under 30,A suburb near a large city,1
Y,N,male,65,no,150+,A suburb near a large city,20
N,N,female,55,no,under 30,A rural area,30
Y,Y,female,60,yes,under 30,A small city or town,1
N,N,male,22,no,under 30,A rural area,3
Y,N,female,23,no,under 30,A suburb near a large city,25
N,N,male,67,no,75-under 150,A small city or town,3
N,N,male,62,no,75-under 150,A suburb near a large city,0
N,N,male,,yes,,A large city,0
N,N,female,45,no,under 30,A small city or town,0
N,Y,male,59,no,75-under 150,A small city or town,12
Y,Y,male,64,no,75-under 150,,15
N,N,female,82,no,,A rural area,
N,Y,female,45,no,75-under 150,A small city or town,2
N,N,male,27,no,,A large city,0
Y,Y,female,47,no,,A large city,24
Y,Y,male,62,no,under 30,A small city or town,1
Y,Y,male,55,no,30-under 75,A large city,20
Y,N,male,58,no,under 30,A large city,0
Y,N,male,21,no,30-under 75,A large city,4
N,N,male,,no,75-under 150,A small city or town,0
Y,Y,male,31,no,under 30,A suburb near a large city,5
Y,Y,female,50,yes,30-under 75,A suburb near a large city,0
Y,N,female,68,no,under 30,A large city,1
Y,N,male,20,yes,under 30,A large city,6
N,N,female,52,no,30-under 75,A large city,3
N,N,female,34,yes,,A small city or town,0
N,N,male,39,yes,30-under 75,A large city,0
Y,N,female,47,no,30-under 75,A small city or town,3
N,N,female,32,yes,under 30,A small city or town,0
Y,N,male,39,yes,150+,A small city or town,36
N,N,male,48,no,,A suburb near a large city,6
Y,Y,female,39,yes,30-under 75,A large city,10
Y,N,male,51,yes,under 30,A rural area,25
N,N,male,38,yes,under 30,A suburb near a large city,0
Y,N,female,29,yes,under 30,A large city,2
N,N,male,55,no,150+,A suburb near a large city,0
Y,Y,male,,no,,A suburb near a large city,0
Y,Y,male,40,yes,150+,A small city or town,
N,N,male,25,yes,30-under 75,A small city or town,12
Y,Y,male,44,yes,under 30,A large city,4
Y,Y,male,47,yes,150+,A suburb near a large city,16
N,N,female,79,no,under 30,A small city or town,0
Y,Y,male,20,no,150+,A suburb near a large city,6
N,N,male,25,no,30-under 75,A small city or town,0
Y,N,male,56,yes,150+,A suburb near a large city,20
N,N,female,84,no,30-under 75,A small city or town,30
Y,N,male,18,no,150+,A small city or town,5
Y,Y,male,46,yes,150+,A small city or town,0
N,N,male,34,yes,75-under 150,A suburb near a large city,20
N,N,male,31,no,30-under 75,A small city or town,2
Y,N,male,39,yes,30-under 75,A small city or town,1
N,N,male,39,yes,30-under 75,A small city or town,0
N,N,male,16,no,30-under 75,A small city or town,6
N,N,male,85,no,30-under 75,A small city or town,3
N,N,male,72,yes,under 30,A small city or town,0
N,N,male,62,yes,under 30,A small city or town,0
N,N,male,63,no,75-under 150,A small city or town,5
N,N,male,66,no,under 30,A large city,0
Y,N,male,18,no,30-under 75,A rural area,10
Y,N,male,72,no,75-under 150,A rural area,40
Y,N,female,65,no,30-under 75,A large city,20
Y,N,female,35,yes,150+,A large city,5
Y,Y,male,66,no,75-under 150,A small city or town,8
Y,Y,male,67,no,75-under 150,A suburb near a large city,5
Y,N,female,77,no,30-under 75,A small city or town,4
N,N,female,46,no,,A large city,0
Y,Y,female,62,no,75-under 150,A large city,12
Y,N,male,72,yes,under 30,,30
N,N,male,18,no,under 30,A large city,6
N,Y,male,50,yes,75-under 150,A rural area,5
Y,N,male,50,no,30-under 75,A suburb near a large city,10
Y,N,female,20,no,30-under 75,A large city,0
Y,N,female,19,no,150+,A suburb near a large city,1
N,N,male,,no,under 30,A large city,3
Y,Y,female,49,no,30-under 75,A suburb near a large city,6
Y,Y,female,20,no,under 30,A large city,10
N,N,male,36,yes,150+,A rural area,0
N,Y,male,36,no,75-under 150,A rural area,1
Y,Y,male,32,yes,75-under 150,A suburb near a large city,20
N,N,female,25,no,30-under 75,A large city,10
N,N,male,47,yes,30-under 75,A small city or town,0
Y,N,female,79,no,30-under 75,A rural area,8
N,N,male,23,no,30-under 75,A large city,0
Y,Y,male,39,yes,150+,A suburb near a large city,25
N,N,female,67,no,under 30,A small city or town,1
N,N,female,22,yes,30-under 75,A small city or town,0
N,N,male,68,no,30-under 75,A large city,10
Y,N,male,64,no,under 30,A suburb near a large city,3
N,N,male,54,no,75-under 150,A rural area,0
N,N,male,67,no,30-under 75,A rural area,50
N,N,male,41,yes,75-under 150,A suburb near a large city,0
N,N,male,39,no,,A suburb near a large city,10
Y,N,female,55,no,under 30,A small city or town,
Y,Y,male,23,no,under 30,A large city,15
Y,Y,female,59,no,30-under 75,A small city or town,30
Y,N,male,48,yes,30-under 75,A suburb near a large city,10
N,N,male,19,no,under 30,A suburb near a large city,8
Y,N,male,,no,under 30,A large city,0
Y,Y,female,29,no,30-under 75,A large city,5
Y,Y,female,53,no,75-under 150,A suburb near a large city,8
N,N,male,39,no,150+,A large city,30
N,N,male,73,no,under 30,A small city or town,2
N,N,male,20,yes,under 30,A rural area,0
Y,N,female,26,no,under 30,A large city,15
Y,Y,male,31,yes,75-under 150,A suburb near a large city,20
Y,N,female,30,no,30-under 75,A small city or town,15
Y,N,male,,yes,75-under 150,A suburb near a large city,1
Y,Y,male,55,no,75-under 150,A rural area,3
Y,Y,female,26,no,75-under 150,A small city or town,
N,N,male,25,no,30-under 75,A small city or town,15
N,N,male,63,no,,A rural area,3
N,N,female,28,no,30-under 75,A small city or town,2
N,N,male,60,no,30-under 75,A large city,0
Y,N,male,45,yes,under 30,A rural area,0
Y,N,female,28,yes,under 30,A small city or town,3
Y,Y,female,50,no,75-under 150,A large city,
N,N,male,38,yes,under 30,A small city or town,1
Y,N,male,17,no,75-under 150,A large city,12
N,N,female,51,no,30-under 75,A large city,3
Y,N,male,44,yes,under 30,A small city or town,0
N,N,female,55,no,under 30,A small city or town,3
Y,N,male,17,no,30-under 75,A suburb near a large city,2
N,N,female,62,no,75-under 150,A suburb near a large city,12
Y,Y,female,58,no,under 30,A suburb near a large city,3
N,N,female,81,no,under 30,A small city or town,0
Y,Y,female,21,no,under 30,A large city,10
N,N,male,60,no,30-under 75,A small city or town,2
N,N,female,55,no,75-under 150,A large city,0
Y,Y,male,44,yes,under 30,A rural area,10
Y,Y,female,59,no,under 30,A rural area,3
N,N,female,79,no,30-under 75,A large city,5
Y,Y,male,25,no,under 30,A large city,4
Y,Y,male,65,no,75-under 150,A large city,3
N,N,male,47,no,30-under 75,A small city or town,0
N,N,male,46,no,,A small city or town,0
N,N,female,52,no,75-under 150,A small city or town,3
N,N,male,19,no,30-under 75,A small city or town,0
N,N,female,40,yes,30-under 75,A suburb near a large city,12
Y,N,male,62,no,150+,A suburb near a large city,15
Y,Y,female,53,no,under 30,A small city or town,0
Y,Y,female,29,yes,30-under 75,A large city,4
Y,N,male,68,no,under 30,A suburb near a large city,2
Y,N,female,41,yes,30-under 75,A small city or town,10
Y,N,female,17,no,,A large city,50
Y,N,female,17,no,30-under 75,A small city or town,20
N,N,male,44,yes,150+,A rural area,25
N,N,male,42,yes,30-under 75,A suburb near a large city,2
N,Y,female,50,yes,75-under 150,A small city or town,30
Y,Y,male,50,yes,,A suburb near a large city,12
Y,N,female,42,no,under 30,A rural area,2
Y,Y,male,27,no,30-under 75,A large city,6
N,N,female,56,no,under 30,A small city or town,0
Y,N,male,45,no,75-under 150,A small city or town,18
Y,N,female,60,no,30-under 75,A suburb near a large city,5
N,N,female,22,no,under 30,A suburb near a large city,15
N,N,male,63,no,75-under 150,A small city or town,4
Y,Y,female,72,yes,30-under 75,A small city or town,50
N,N,female,38,yes,75-under 150,A rural area,3
N,N,male,62,no,30-under 75,A large city,2
Y,Y,female,33,yes,under 30,A suburb near a large city,0
N,N,male,25,no,under 30,A small city or town,0
Y,Y,female,43,yes,75-under 150,A suburb near a large city,
Y,N,male,78,no,75-under 150,A small city or town,4
N,N,male,65,no,75-under 150,A rural area,4
N,N,female,34,no,30-under 75,A large city,4
Y,N,male,69,no,150+,A suburb near a large city,6
Y,Y,male,63,no,150+,A large city,4
Y,N,male,22,no,under 30,A small city or town,15
Y,Y,male,42,yes,150+,A large city,50
Y,Y,male,64,no,75-under 150,A rural area,8
Y,Y,female,33,yes,,A small city or town,2
Y,N,female,80,no,under 30,A suburb near a large city,1
N,Y,female,27,yes,30-under 75,A suburb near a large city,0
N,N,female,47,no,under 30,A large city,2
Y,N,female,32,yes,under 30,A small city or town,15
N,N,male,82,no,30-under 75,A rural area,2
N,N,male,62,no,30-under 75,A small city or town,40
N,N,female,52,no,75-under 150,A small city or town,3
N,N,male,21,no,75-under 150,A small city or town,0
N,N,male,67,no,,A small city or town,0
N,N,male,25,no,,A suburb near a large city,3
N,N,male,47,no,30-under 75,A large city,0
N,N,male,55,no,75-under 150,A large city,5
Y,N,male,52,no,30-under 75,A suburb near a large city,8
Y,Y,female,34,no,under 30,A small city or town,10
Y,N,female,55,no,75-under 150,A suburb near a large city,3
N,N,male,20,no,30-under 75,A large city,1
N,N,male,36,no,30-under 75,A suburb near a large city,5
N,N,male,64,no,75-under 150,A suburb near a large city,1
Y,Y,female,47,no,30-under 75,A large city,
N,N,male,46,yes,150+,A small city or town,3
Y,N,male,17,no,150+,A suburb near a large city,5
Y,N,female,54,no,75-under 150,A small city or town,72
N,N,male,31,no,30-under 75,A small city or town,1
Y,N,female,71,no,30-under 75,A large city,3
Y,Y,female,45,yes,30-under 75,A suburb near a large city,3
N,N,male,67,no,30-under 75,A rural area,6
Y,N,female,27,yes,under 30,A small city or town,
Y,Y,female,71,no,,A suburb near a large city,20
Y,Y,male,69,no,75-under 150,A suburb near a large city,30
Y,Y,female,31,yes,under 30,A small city or town,4
N,N,male,50,no,,A small city or town,0
N,N,female,49,no,under 30,A small city or town,2
N,Y,female,72,no,,A small city or town,30
N,N,male,45,yes,30-under 75,A small city or town,15
Y,N,female,53,no,30-under 75,A small city or town,60
N,N,male,35,no,75-under 150,A large city,1
N,N,male,35,no,75-under 150,A small city or town,4
N,N,male,52,yes,150+,A suburb near a large city,
N,N,female,59,no,150+,A suburb near a large city,3
N,N,male,30,no,75-under 150,A suburb near a large city,0
Y,N,female,51,no,150+,A suburb near a large city,3
N,N,female,29,yes,30-under 75,A rural area,12
Y,Y,female,66,no,75-under 150,A suburb near a large city,20
N,N,male,60,no,75-under 150,A suburb near a large city,0
N,Y,male,33,yes,150+,A suburb near a large city,10
N,N,female,19,no,30-under 75,A small city or town,3
Y,Y,female,27,no,150+,A large city,6
Y,Y,male,26,no,30-under 75,A rural area,20
Y,N,female,60,no,,A suburb near a large city,20
Y,N,female,75,no,30-under 75,A small city or town,50
Y,Y,female,34,no,75-under 150,A suburb near a large city,7
N,N,female,26,no,under 30,A suburb near a large city,6
N,N,male,31,no,30-under 75,A large city,3
N,N,male,38,yes,under 30,A small city or town,8
N,N,male,35,yes,30-under 75,A small city or town,20
Y,Y,female,20,no,75-under 150,A small city or town,5
Y,N,female,66,no,30-under 75,A small city or town,
Y,N,female,17,no,75-under 150,,10
Y,N,female,,yes,75-under 150,A suburb near a large city,15
N,N,female,25,yes,under 30,A large city,7
Y,N,female,70,yes,30-under 75,A rural area,6
N,Y,female,56,no,under 30,A small city or town,5
Y,N,female,40,no,under 30,A suburb near a large city,3
Y,N,male,56,yes,150+,A small city or town,8
Y,Y,female,24,no,under 30,A large city,6
Y,N,male,48,yes,75-under 150,A suburb near a large city,11
Y,N,male,25,no,75-under 150,A small city or town,10
Y,Y,male,55,no,under 30,A large city,2
N,N,male,34,no,30-under 75,A rural area,0
N,Y,male,16,no,75-under 150,A small city or town,6
N,N,male,51,yes,150+,A suburb near a large city,3
N,N,male,66,no,30-under 75,A suburb near a large city,2
N,N,male,39,no,,A large city,1
N,N,male,38,yes,under 30,A rural area,3
N,N,male,29,no,30-under 75,A large city,0
N,N,male,39,yes,75-under 150,A small city or town,20
